Authors,PubYear,StudyYear,metaDuAggregate,metaDu,metaXu,retain,duplicate,CTA6hrs,firstpass,hospital,Country,Study type,total,Quality assessment,Quality assessment182526,Setting ,TP,FP,FN,TN,age,male,id,result_id,study_id,clinical,clinical,HE12,TPMORTSS,FPMORTSS,FNMORTSS,TNMORTSS,TPMORTH,FPMORTH,FNMORTH,TNMORTH,TPMOR30S,FPMOR30S,FNMOR30S,TNMOR30S,TPMOR30H,FPMOR30H,FNMOR30H,TNMOR30H,TPMOR3S,FPMOR3S,FNMOR3S,TNOMOR3S,TPMOR3H,FPMOR3H,FNMOR3H,TNMOR3H,TPPOS,FPPOS,FNPOS,TNPOS,TPPOH,FPPOH,FNPOH,TNPOH,TPGOS,FPGOS,FNGOS,TNGOS,TPGOH,FPGOH,FNGOH,TNGOH,TPMRSS,FPMRSS,FNMRSS,TNMRSS,TPMRSH,FPMRSH,FNMRSH,TNMRSH,TPMRS3S,FPMRS3S,FNMRS3S,TNMRS3S,TPMRS3H,FPMRS3H,FNMRS3H,TNMRS3H,TPMMRSS,FPMMRSS,FNMMRSS,TNMMRSS,TPMMRSH,FPMMRSH,FNMMRSH,TNMMRSH,TPMRSbadS,FPMRSbadS,FNMRSbadS,TNMRSbadS,TPMRSbadH,FPMRSbadH,FNMRSbadH,TNMRSbadH,TPMRSgS,FPMRSgS,FNMRSgS,TNMRSgs,TPMRSgH,FPMRSgH,FNMRSgH,TNMRSgH,TPdiss,FPdiss,FNdiss,TNdiss,TPdisH,FPdisH,FNdisH,TNdisH,TPNS,FPNS,FNNS,TNNS,TPNH,FPNH,FNNH,TNNH,TPdetS,FPdetS,FNdetS,TNdetS,TPdetH,FPdetH,FNdetH,TNdetH,TPevacs,FPevacs,FNevacs,TNevacs,TPevacH,FPevacH,FNevacH,TNevacH,TPexts,FPexts,FNexts,TNexts,TPextH,FPextH,FNextH,TNextH,TPHosps,FPHosps,FNHosps,TNHosps,TPHosph,FPHospH,FNHospH,TNHospH,,retain,duplicate,CTA6hrs,firstpass
Hotta,2014,2009-2012,yes,yes,yes,yes,no,no,yes,Tokai,Japan,Retro,323,44,38,Single,15,25,29,174,67,187,5,1,5,1,yes,1,17,63,28,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,37,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,36,117,46,,,,,,,,,,,,,,yes,no,no,yes
Ciura,2014,2012-2013,no,no,yes,yes,no,no,yes,MGH,US,Prospective,74,45,39,Single,25,15,53,194,62,161,12,1,12,1,yes,,,,,,,,,,8,32,26,221,15,63,19,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,15,232,8,70,12,197,29,11,79,168,44,34,64,145,25,15,103,144,,,,,,,,,,,,,,yes,no,no,yes
Rodriguez-Luna,2014,2006-2012,yes,no,yes,no,yes,yes,no,Predict,Multiple,Prospective,371,45,42,Single,25,19,2,37,65.7,52,20,1,20,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,yes,no
Ovesen,2014,2011-2012,no,no,yes,yes,no,yes,no,Copenhagen,Denmark,Prospective,25,46,40,Single,26,21,31,238,62,,10,1,10,0,no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,yes,no
Tsukabe,2014,2009-2014,no,no,yes,yes,no,yes,yes,Osaka,Japan,Retro,83,46,40,Single,33,41,123,620,72,456,27,1,27,1,yes,,,,,,70,86,123,538,,,,,,,,,,,,,85,71,159,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,yes,yes
Kim,2014,2009-2011,no,no,yes,yes,no,no,yes,Yonsei,Korea,Retro,316,36,30,Single,35,26,12,114,60.45,93,4,1,4,1,yes,,35,26,10,116,,,,,,,,,,,,,,,,,,,,,,,,,42,5,79,61,,,,,5,42,61,79,,,,,,,,,,,,,,,,,,,,,,,,,53,8,68,58,,,,,8,53,58,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,33,3,123,,,,,17.89,,16.39,,,,,,,yes,no,no,yes
Brouwers,2014,1994-2011,yes,yes,yes,no,yes,no,yes,MGH,US,Prospective,817,38,35,Single,37,24,36,131,68.7,129,39,1,39,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,no,yes
Hou,2014,2012-2013,no,no,yes,yes,yes,yes,yes,Tiantan,China,Prospective,53,39,33,Single,44,43,45,188,71,130,45,1,45,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes
Rodriguez-Luna,2016,2006-2010,no,no,yes,no,yes,yes,yes,Predict,Multiple,Prospective,231,45,42,Multicentre,6,10,12,52,68,38,13,1,13,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,3,61,,,,,8,21,10,41,,,,,,,,,,,,,,,,,,,,,,no,yes,yes,yes
Wang,2016,2014-2015,no,no,yes,yes,no,yes,yes, Zhejiang University,China/US,Retro,72,47,41,Multicentre,10,7,6,100,72,75,48,1,48,1,yes,,7,9,9,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,yes,yes
Zheng,2017,2015-2016,no,no,yes,no,yes,yes,yes,Sichuan,China,Retro,115,47,41,Single,16,12,9,78,59,84,25,1,25,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,yes,yes
Orito,2016,2012-2013,no,no,no,yes,no,no,yes,Kurume,Japan,Prospective,80,41,36,Single,20,5,12,35,66,62,23,1,23,0,no,,,,,,,,,,,,,,,,,,10,3,22,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,no,yes
Morotti ,2016,2001-2015,no,no,yes,yes,yes,no,yes,MGH,US,Retro,709,41,41,Single,32,37,20,103,67,129,42,1,42,0,no,,,,,,,,,,,,,,,,,,22,27,49,133,,,,,34,80,37,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,22,59,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,no,yes
Romero,2017,2009-2012,no,no,yes,no,yes,no,yes,MGH,US,Retro,123,46,42,Single,55,66,67,521,74,396,40,1,40,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,no,yes
Morotti,2017,2011-2015,no,no,no,yes,no,no,yes,Multiple,Multiple,Prospective,133,46,43,Multicentre,13,11,40,69,62,83,7,1,7,0,no,,,,,,,,,,,,,,,,,,30,26,13,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,49,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,no,yes
Yu,2017,2015-2016,no,no,yes,yes,yes,yes,yes,Sichuan,China,Retro,129,46,40,Single,19,13,11,86,59,94,49,1,49,0,no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes
nishiyama,2017,2013-2016,no,yes,yes,no,yes,yes,yes,Tokai,Japan,Retro,140,,,Single,10,14,4,112,60,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boulouis,2016,,no,no,no,yes,yes,yes,yes,MGH,US,Retro,784,,,Single,75,95,81,531,,,,,,,,,100,70,493,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morotti,2017,,no,no,yes,no,yes,yes,yes,MGH,US,Retro,49,,,Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
